Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,72,2026,11,9,0.9800,0.9552,0.9219,+0.0179,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,73,2026,12,8,0.9800,0.9549,0.9213,+0.0176,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:requests_personal_information; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30
SMS Spam,74,2026,6,14,0.9830,0.9610,0.9317,+0.0237,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c34
SMS Spam,75,2026,11,9,0.9770,0.9487,0.9105,+0.0113,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c33
SMS Spam,76,2026,9,11,0.9880,0.9720,0.9508,+0.0347,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,77,2026,12,8,0.9690,0.9338,0.8856,-0.0035,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,78,2026,10,10,0.9730,0.9401,0.8958,+0.0028,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:mentions_meeting_family_friends; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,79,2026,10,10,0.9810,0.9576,0.9261,+0.0203,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30
SMS Spam,80,2026,11,9,0.9700,0.9358,0.8889,-0.0016,original:mentions_prize_reward_gift; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,81,2026,10,10,0.9770,0.9483,0.9098,+0.0110,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:requests_immediate_action; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c36
SMS Spam,82,2026,6,14,0.9840,0.9634,0.9360,+0.0261,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:asks_click_link; original:requests_immediate_action; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,83,2026,9,11,0.9810,0.9561,0.9231,+0.0188,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:requests_personal_information; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c36
SMS Spam,84,2026,9,11,0.9810,0.9570,0.9249,+0.0197,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,85,2026,10,10,0.9680,0.9319,0.8824,-0.0054,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,86,2026,8,12,0.9740,0.9440,0.9030,+0.0067,original:mentions_prize_reward_gift; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,87,2026,10,10,0.9810,0.9567,0.9243,+0.0194,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c36
SMS Spam,88,2026,11,9,0.9820,0.9586,0.9274,+0.0212,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:requests_personal_information; original:requests_immediate_action; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30
SMS Spam,89,2026,10,10,0.9820,0.9589,0.9280,+0.0215,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_free_offer; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,90,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,91,2026,8,12,0.9800,0.9549,0.9213,+0.0176,original:mentions_money_payment; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,92,2026,13,7,0.9780,0.9507,0.9141,+0.0134,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33
SMS Spam,93,2026,7,13,0.9710,0.9377,0.8922,+0.0004,original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,94,2026,12,8,0.9790,0.9528,0.9176,+0.0155,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,95,2026,11,9,0.9810,0.9573,0.9255,+0.0200,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c34
SMS Spam,96,2026,12,8,0.9720,0.9385,0.8931,+0.0012,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c29; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,97,2026,9,11,0.9690,0.9330,0.8839,-0.0043,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,98,2026,9,11,0.9790,0.9525,0.9170,+0.0152,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,99,2026,10,10,0.9780,0.9507,0.9141,+0.0134,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c27; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,100,2026,9,11,0.9700,0.9358,0.8889,-0.0016,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:mentions_discount_or_rate; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SST-2,1,2027,10,10,0.9100,0.9099,0.9131,-0.0251,original:expresses_positive_emotion; original:mentions_enjoyment; original:describes_high_quality; original:expresses_negative_emotion; original:describes_low_quality; original:mentions_bad_acting_or_writing; original:contains_comparison; original:contains_irony_or_sarcasm; original:contains_mixed_sentiment; original:mentions_boredom; alternative:sst2_alt_c03; alternative:sst2_alt_c06; alternative:sst2_alt_c13; alternative:sst2_alt_c14; alternative:sst2_alt_c18; alternative:sst2_alt_c25; alternative:sst2_alt_c31; alternative:sst2_alt_c34; alternative:sst2_alt_c35; alternative:sst2_alt_c38
SST-2,2,2027,8,12,0.9400,0.9390,0.9469,+0.0040,original:contains_praise; original:mentions_enjoyment; original:expresses_negative_emotion; original:mentions_bad_acting_or_writing; original:uses_strong_opinion; original:contains_mixed_sentiment; original:uses_emotional_language; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c10; alternative:sst2_alt_c11; alternative:sst2_alt_c14; alternative:sst2_alt_c17; alternative:sst2_alt_c18; alternative:sst2_alt_c20; alternative:sst2_alt_c31; alternative:sst2_alt_c34; alternative:sst2_alt_c38
SST-2,3,2027,9,11,0.8740,0.8739,0.8770,-0.0610,original:mentions_enjoyment; original:describes_high_quality; original:mentions_disappointment; original:describes_low_quality; original:mentions_bad_acting_or_writing; original:contains_comparison; original:contains_irony_or_sarcasm; original:sounds_uncertain; original:mentions_boredom; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c13; alternative:sst2_alt_c19; alternative:sst2_alt_c25; alternative:sst2_alt_c26; alternative:sst2_alt_c27; alternative:sst2_alt_c31; alternative:sst2_alt_c33; alternative:sst2_alt_c34; alternative:sst2_alt_c35
SST-2,4,2027,8,12,0.9370,0.9358,0.9447,+0.0008,original:describes_high_quality; original:expresses_negative_emotion; original:mentions_disappointment; original:mentions_bad_acting_or_writing; original:uses_emotional_language; original:mentions_exciting_content; original:mentions_boredom; original:sounds_confident; alternative:sst2_alt_c03; alternative:sst2_alt_c07; alternative:sst2_alt_c10; alternative:sst2_alt_c17; alternative:sst2_alt_c19; alternative:sst2_alt_c20; alternative:sst2_alt_c25; alternative:sst2_alt_c26; alternative:sst2_alt_c31; alternative:sst2_alt_c33; alternative:sst2_alt_c34; alternative:sst2_alt_c38
SST-2,5,2027,15,5,0.9430,0.9421,0.9493,+0.0072,original:expresses_positive_emotion; original:contains_praise; original:contains_criticism; original:mentions_disappointment; original:describes_low_quality; original:mentions_good_acting_or_writing; original:mentions_bad_acting_or_writing; original:uses_strong_opinion; original:contains_irony_or_sarcasm; original:contains_mixed_sentiment; original:sounds_uncertain; original:uses_emotional_language; original:mentions_exciting_content; original:mentions_boredom; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c11; alternative:sst2_alt_c25; alternative:sst2_alt_c27; alternative:sst2_alt_c34
SST-2,6,2027,12,8,0.9140,0.9139,0.9173,-0.0211,original:expresses_positive_emotion; original:contains_praise; original:mentions_enjoyment; original:describes_high_quality; original:expresses_negative_emotion; original:contains_criticism; original:mentions_disappointment; original:describes_low_quality; original:mentions_bad_acting_or_writing; original:uses_strong_opinion; original:contains_irony_or_sarcasm; original:uses_emotional_language; alternative:sst2_alt_c02; alternative:sst2_alt_c03; alternative:sst2_alt_c06; alternative:sst2_alt_c11; alternative:sst2_alt_c18; alternative:sst2_alt_c25; alternative:sst2_alt_c26; alternative:sst2_alt_c35
SST-2,7,2027,10,10,0.9430,0.9419,0.9499,+0.0070,original:mentions_enjoyment; original:expresses_negative_emotion; original:contains_criticism; original:mentions_good_acting_or_writing; original:uses_strong_opinion; original:contains_mixed_sentiment; original:sounds_uncertain; original:uses_emotional_language; original:mentions_exciting_content; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c11; alternative:sst2_alt_c14; alternative:sst2_alt_c17; alternative:sst2_alt_c19; alternative:sst2_alt_c26; alternative:sst2_alt_c27; alternative:sst2_alt_c34
SST-2,8,2027,12,8,0.9110,0.9109,0.9143,-0.0241,original:expresses_positive_emotion; original:contains_praise; original:mentions_enjoyment; original:expresses_negative_emotion; original:describes_low_quality; original:mentions_good_acting_or_writing; original:mentions_bad_acting_or_writing; original:uses_strong_opinion; original:contains_mixed_sentiment; original:uses_emotional_language; original:contains_recommendation; original:sounds_confident; alternative:sst2_alt_c03; alternative:sst2_alt_c06; alternative:sst2_alt_c17; alternative:sst2_alt_c20; alternative:sst2_alt_c25; alternative:sst2_alt_c31; alternative:sst2_alt_c33; alternative:sst2_alt_c34
SST-2,9,2027,11,9,0.9420,0.9410,0.9486,+0.0061,original:expresses_positive_emotion; original:contains_praise; original:mentions_enjoyment; original:expresses_negative_emotion; original:contains_criticism; original:mentions_good_acting_or_writing; original:contains_comparison; original:contains_irony_or_sarcasm; original:contains_mixed_sentiment; original:contains_recommendation; original:mentions_boredom; alternative:sst2_alt_c02; alternative:sst2_alt_c10; alternative:sst2_alt_c11; alternative:sst2_alt_c17; alternative:sst2_alt_c19; alternative:sst2_alt_c20; alternative:sst2_alt_c26; alternative:sst2_alt_c31; alternative:sst2_alt_c34
SST-2,10,2027,12,8,0.9080,0.9079,0.9112,-0.0271,original:expresses_positive_emotion; original:mentions_enjoyment; original:describes_high_quality; original:expresses_negative_emotion; original:contains_criticism; original:mentions_bad_acting_or_writing; original:contains_comparison; original:contains_irony_or_sarcasm; original:uses_emotional_language; original:contains_recommendation; original:mentions_exciting_content; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c07; alternative:sst2_alt_c11; alternative:sst2_alt_c14; alternative:sst2_alt_c17; alternative:sst2_alt_c19; alternative:sst2_alt_c20; alternative:sst2_alt_c38
SST-2,11,2027,9,11,0.9410,0.9400,0.9476,+0.0051,original:contains_praise; original:describes_high_quality; original:contains_criticism; original:mentions_bad_acting_or_writing; original:contains_comparison; original:sounds_uncertain; original:contains_recommendation; original:mentions_exciting_content; original:mentions_boredom; alternative:sst2_alt_c03; alternative:sst2_alt_c11; alternative:sst2_alt_c13; alternative:sst2_alt_c14; alternative:sst2_alt_c18; alternative:sst2_alt_c20; alternative:sst2_alt_c25; alternative:sst2_alt_c27; alternative:sst2_alt_c31; alternative:sst2_alt_c35; alternative:sst2_alt_c38
SST-2,12,2027,9,11,0.9050,0.9049,0.9079,-0.0300,original:contains_praise; original:mentions_disappointment; original:mentions_good_acting_or_writing; original:mentions_bad_acting_or_writing; original:contains_comparison; original:contains_irony_or_sarcasm; original:contains_recommendation; original:mentions_boredom; original:sounds_confident; alternative:sst2_alt_c03; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c10; alternative:sst2_alt_c14; alternative:sst2_alt_c17; alternative:sst2_alt_c19; alternative:sst2_alt_c20; alternative:sst2_alt_c27; alternative:sst2_alt_c35; alternative:sst2_alt_c38
SST-2,13,2027,12,8,0.9410,0.9399,0.9481,+0.0049,original:contains_praise; original:mentions_enjoyment; original:expresses_negative_emotion; original:contains_criticism; original:mentions_good_acting_or_writing; original:uses_strong_opinion; original:contains_irony_or_sarcasm; original:contains_mixed_sentiment; original:uses_emotional_language; original:contains_recommendation; original:mentions_exciting_content; original:sounds_confident; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c11; alternative:sst2_alt_c13; alternative:sst2_alt_c25; alternative:sst2_alt_c26; alternative:sst2_alt_c31; alternative:sst2_alt_c33
SST-2,14,2027,10,10,0.9390,0.9378,0.9464,+0.0029,original:mentions_enjoyment; original:describes_high_quality; original:expresses_negative_emotion; original:describes_low_quality; original:contains_comparison; original:uses_strong_opinion; original:uses_emotional_language; original:mentions_exciting_content; original:mentions_boredom; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c11; alternative:sst2_alt_c14; alternative:sst2_alt_c17; alternative:sst2_alt_c25; alternative:sst2_alt_c27; alternative:sst2_alt_c34; alternative:sst2_alt_c38
SST-2,15,2027,10,10,0.9430,0.9421,0.9494,+0.0071,original:contains_praise; original:expresses_negative_emotion; original:contains_criticism; original:describes_low_quality; original:mentions_bad_acting_or_writing; original:uses_strong_opinion; original:contains_irony_or_sarcasm; original:contains_mixed_sentiment; original:sounds_uncertain; original:contains_recommendation; alternative:sst2_alt_c02; alternative:sst2_alt_c06; alternative:sst2_alt_c07; alternative:sst2_alt_c11; alternative:sst2_alt_c18; alternative:sst2_alt_c19; alternative:sst2_alt_c25; alternative:sst2_alt_c26; alternative:sst2_alt_c33; alternative:sst2_alt_c35
SST-2,16,2027,10,10,0.8960,0.8959,0.8994,-0.0391,original:mentions_enjoyment; original:describes_high_quality; original:mentions_disappointment; original:mentions_bad_acting_or_writing; original:contains_comparison; original:uses_strong_opinion; original:contains_irony_or_sarcasm; original:contains_recommendation; original:mentions_exciting_content; original:sounds_confident; alternative:sst2_alt_c02; alternative:sst2_alt_c03; alternative:sst2_alt_c06; alternative:sst2_alt_c11; alternative:sst2_alt_c13; alternative:sst2_alt_c14; alternative:sst2_alt_c20; alternative:sst2_alt_c26; alternative:sst2_alt_c31; alternative:sst2_alt_c34
